opt_x,opt_y,outer_width,inner_width,center_x,center_y,outer_x,outer_y,inner_x,inner_y,curvature,ref_v
7.448805259108871,23.46639786558387,0.9073237984998149,0.8899543860388099,7.450000000000001,23.475,7.573624316287254,24.365095077268222,7.326375683712748,22.584904922731777,-0.43821405860902957,2.1309535760042295
7.420294203433888,23.47267139634721,0.9090019748970846,0.8927153045274308,7.421153846153848,23.48076923076923,7.516252052695116,24.376594336387985,7.326055639612578,22.584944125150475,-0.4417655278160477,2.124948607906072
7.391719639542961,23.47857454695322,0.9120056680390206,0.8960344762769559,7.392307692307694,23.486538461538462,7.45887899277501,24.388104073581548,7.325736391840377,22.584972849495376,-0.4449998313509562,2.1187006062623475
7.3631173576878055,23.484098980854128,0.9163295836129489,0.8998977359830704,7.363461538461539,23.49230769230769,7.401504157783262,24.399624163130788,7.325418919139817,22.584991221484596,-0.44744062852994065,2.112897192185045
7.3345233146044855,23.489238202030528,0.9219662024113849,0.9042878012819964,7.334615384615386,23.498076923076923,7.344126608215047,24.41115438864442,7.325104161015724,22.584999457509426,-0.44951813810957547,2.107747887607815
7.285563380281691,23.49714964686094,0.9178503531390589,0.9121496468609394,7.285563380281691,23.5,7.285563380281691,24.415,7.285563380281691,22.585,-0.4512419628993852,2.103437091302727
7.226408450704226,23.505220466348817,0.9097795336511822,0.920220466348816,7.226408450704226,23.5,7.226408450704226,24.415,7.226408450704226,22.585,-0.4532498568971318,2.0991729971861166
7.167253521126762,23.51167284072447,0.9033271592755305,0.9266728407244678,7.167253521126762,23.5,7.167253521126762,24.415,7.167253521126762,22.585,-0.4551556998646841,2.094740913907009
7.108098591549297,23.516513841326265,0.8984861586737338,0.9315138413262645,7.108098591549297,23.5,7.108098591549297,24.415,7.108098591549297,22.585,-0.457055599771003,2.0900762078087833
7.0489436619718315,23.519746576819184,0.8952534231808151,0.9347465768191832,7.0489436619718315,23.5,7.0489436619718315,24.415,7.0489436619718315,22.585,-0.458979301290143,2.0850326969742037
6.989788732394366,23.521370042489067,0.8936299575109317,0.9363700424890666,6.989788732394367,23.5,6.989788732394367,24.415,6.989788732394367,22.585,-0.46117972426791554,2.079582973522799
6.930633802816903,23.52137908820722,0.8936209117927802,0.936379088207218,6.930633802816902,23.5,6.930633802816902,24.415,6.930633802816902,22.585,-0.4636882580294048,2.07400368462288
6.871478873239438,23.519764793479844,0.8952352065201552,0.9347647934798431,6.871478873239438,23.5,6.871478873239438,24.415,6.871478873239438,22.585,-0.4661132170008762,2.0686918168936685
6.812323943661973,23.516514977941753,0.8984850220582459,0.9315149779417524,6.812323943661973,23.5,6.812323943661973,24.415,6.812323943661973,22.585,-0.46830137322941173,2.063898079807537
6.7531690140845075,23.511614436480862,0.9033855635191372,0.9266144364808611,6.7531690140845075,23.5,6.7531690140845075,24.415,6.7531690140845075,22.585,-0.4701993266121945,2.059742650326923
6.694014084507042,23.505044949024732,0.9099550509752667,0.9200449490247316,6.694014084507043,23.5,6.694014084507043,24.415,6.694014084507043,22.585,-0.47180940499609436,2.056225111645102
6.634859154929578,23.49678506624307,0.9182149337569285,0.9117850662430698,6.634859154929578,23.5,6.634859154929578,24.415,6.634859154929578,22.585,-0.4730062015027322,2.0532331025844393
6.601063274184458,23.491297864218986,0.914402008221352,0.9066104640549562,6.600961538461539,23.495192307692307,6.577184220852306,24.405388025773743,6.624738856070772,22.584996589610874,-0.47433672902428275,2.0497015250473765
6.572302777249114,23.486182887928976,0.9091966642938173,0.9027054577136308,6.572115384615385,23.489423076923075,6.519808143040749,24.393862835786333,6.624422626190022,22.58498331805982,-0.47571393140369767,2.0465002657596285
6.54353911363232,23.480653383734804,0.9053347394714829,0.8993095883570722,6.543269230769232,23.483653846153846,6.462434315793281,24.382347900886476,6.624104145745182,22.584959791421216,-0.47686651801641394,2.043834056580549
6.514811476479714,23.474713248569998,0.9028256929481054,0.896435568790171,6.514423076923078,23.477884615384617,6.405061778291115,24.370843392909947,6.623784375555041,22.584925837859284,-0.47776675970639326,2.0416895393650902
6.486236675170346,23.468386349745977,0.8979971762158464,0.8940986839002834,6.4859375,23.4703125,6.348409824984271,24.355743486337225,6.62346517501573,22.584881513662776,-0.47839763662571155,2.0401234522842095
6.457679543532009,23.461642045021975,0.8908577052419637,0.8922916663437659,6.457812500000001,23.4609375,6.292479394346188,24.337048443044036,6.623145605653813,22.584826556955964,-0.4788136592192495,2.0391989460889883
6.42904373871635,23.454451700641023,0.8850982917234368,0.8910183960922525,6.429687500000001,23.4515625,6.236549830859543,24.318364359102375,6.622825169140459,22.584760640897624,-0.4791688676165581,2.038902812753974
6.382201183355496,23.441753933605163,0.881298717302487,0.8898499267451048,6.383180147058825,23.437591911764706,6.180414649692004,24.299640653371288,6.585945644425645,22.575543170158124,-0.4777000428264065,2.04115322492133
6.331990951989572,23.426835302726378,0.8789777018556412,0.8874849367660498,6.332996323529414,23.422702205882352,6.124238568304931,24.280908336742073,6.541754078753897,22.56449607502263,-0.4756470477352786,2.0442930808473796
6.283176712476164,23.411011423641696,0.8779272744440938,0.8839574486399451,6.283915441176473,23.408088235294116,6.068075107331284,24.262179796337094,6.4997557750216615,22.55399667425114,-0.4737867240396541,2.0476828282497865
6.2400589840296865,23.39593158859165,0.8776911878855698,0.879925236333791,6.240349264705884,23.39485294117647,6.0119736963392,24.243468562906713,6.468724833072569,22.546237319446227,-0.4722959872678772,2.0507961546395115
